STD_YM,ori_id,purpose,weekday,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23
202410,마라380854,1,0,0.0,0.0,0.0,2.3,0.0,0.0,2.34,0.0,0.0,2.4,7.14,26.3,14.34,2.34,4.68,2.34,30.29,20.7,4.6,6.88,9.38,16.95,2.28,0.0
202410,마라380862,1,0,24.26,70.21,52.09,40.39,28.13,68.32,83.75,33.9,59.81,24.15,51.82,90.89,126.38,135.7,223.16,370.35,356.2,451.13,668.59,729.86,508.73,544.9,466.35,122.99
202410,마라381853,1,0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18,5.68,0.0
202410,마라381854,1,0,51.11,219.34,154.44,148.56,140.83,120.79,244.85,165.5,149.29,187.03,314.47,440.45,585.96,803.69,832.62,1021.09,1515.75,1908.55,2266.32,1844.66,1600.43,1681.46,1205.73,381.11
202410,마라382852,1,0,85.21,146.93,204.96,129.72,113.37,128.32,184.1,133.65,146.04,213.42,321.1,606.95,735.91,568.37,696.73,961.53,1478.07,2222.08,2423.8,1911.62,1806.84,1491.28,1232.48,359.95
202410,마라382857,1,0,78.03,216.33,170.47,100.29,97.09,186.76,191.13,169.97,133.39,185.19,347.26,517.54,706.21,709.82,737.18,1056.22,1654.27,2194.18,2620.82,2229.44,1935.09,2058.9,1329.76,413.39
202410,마라382862,1,0,0.0,0.0,0.0,0.0,0.0,3.76,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202410,마라383853,1,0,40.61,163.39,140.58,140.75,111.83,171.94,169.7,247.85,221.3,208.66,272.64,467.36,559.33,458.89,545.35,724.23,1095.13,1682.49,1928.0,1497.89,1306.32,1237.41,1082.78,325.07
202410,마라383854,1,0,45.26,85.82,98.42,75.58,79.38,76.59,108.42,77.05,63.58,149.86,233.35,238.97,257.14,401.75,320.09,592.92,750.33,982.03,1001.11,936.86,753.43,754.48,707.65,244.75
202410,마라383857,1,0,12.7,88.22,67.77,79.84,69.4,46.65,77.47,69.96,37.07,74.74,103.59,156.2,273.6,244.05,275.84,383.34,517.61,682.08,913.01,853.83,656.25,671.5,567.7,102.18
202410,마라384855,1,0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,2.96,0.0,0.0,0.0,3.39,2.96,12.27,0.0,8.88,2.96,0.0,14.38,7.6,14.79,0.0
202410,마라385853,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18,4.18,8.13,0.0,3.95,0.0,0.0,0.0,0.0,32.75,11.85,0.0,12.08,8.25,8.25,4.3
202410,마라385856,1,0,106.92,329.95,394.23,348.87,427.33,475.81,527.45,386.79,418.4,518.11,776.3,1266.89,1503.35,1460.26,1554.3,2209.31,3166.61,4068.2,5201.83,4037.62,3848.08,3193.9,2609.79,673.16
202410,마라385857,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.0,0.0,0.0,0.0,6.9,6.9,3.45,3.45,0.0,0.0,0.0,0.0,0.0
202410,마라385860,1,0,0.0,3.8,3.8,7.6,3.8,0.0,0.0,7.41,0.0,0.0,3.61,7.22,14.85,0.0,3.43,28.53,19.05,8.4,20.2,3.43,23.07,40.01,31.22,3.8
202410,마라386859,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43,0.0,4.18,0.0,4.18,0.0,3.45,0.0,0.0
202410,마라387856,1,0,0.0,0.0,4.3,0.0,0.0,4.3,0.0,4.3,0.0,0.0,8.6,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,2.84,2.84,11.25,0.0,4.3
202410,마라387859,1,0,81.23,392.82,364.66,258.5,257.81,371.98,428.11,390.87,398.17,463.51,587.04,1158.94,1520.88,1609.83,1859.55,2564.74,3521.45,3752.33,4778.55,4030.91,3028.09,2746.74,2039.49,592.65
202410,마라387860,1,0,7.51,36.77,39.31,38.69,15.49,41.29,39.1,30.2,41.17,59.7,52.06,109.16,139.39,154.84,159.97,301.63,333.46,459.56,506.93,510.34,526.21,416.57,294.88,63.57
202410,마라387862,1,0,112.14,255.89,270.47,195.93,148.86,228.7,268.42,220.14,236.43,326.18,499.55,710.33,722.82,889.07,1008.2,1308.08,1583.18,1765.06,2441.09,2040.7,1320.99,1556.74,1140.68,298.65
202410,마라388856,1,0,134.48,593.15,463.2,339.11,369.68,487.0,508.22,381.27,466.18,594.46,651.84,1169.19,1539.55,1455.33,1835.56,2378.23,3303.62,4559.51,5859.1,4665.55,4296.79,4297.79,3186.28,988.2
202410,마라388868,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.74,0.0,0.0,0.0
202410,마라389855,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.85,13.8,48.0,18.62,18.3,14.85,0.0
202410,마라389859,1,0,0.0,0.0,11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1,12.9,30.1,4.3,4.3,8.6,0.0,4.3,25.96,54.84,8.48,3.61,0.0,0.0
202410,마라389860,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.84,0.0,0.0,0.0,0.0
202410,마라389863,1,0,39.36,155.18,124.2,92.95,136.88,127.39,138.21,102.35,136.32,108.57,140.07,298.47,386.68,396.44,447.68,687.71,829.24,1429.42,1333.31,1143.38,1139.62,1005.57,854.8,243.52
202410,마라389864,1,0,12.62,0.0,0.0,0.0,0.0,0.0,4.22,0.0,0.0,0.0,0.0,11.98,12.05,8.44,8.44,0.0,8.6,4.3,7.19,10.53,2.89,15.55,4.18,0.0
202410,마라389867,1,0,34.98,310.29,315.57,161.04,217.8,271.96,304.75,281.22,309.11,270.45,618.05,955.52,1297.89,1338.53,1796.6,2142.53,3160.03,3873.91,4889.03,4000.03,3567.85,3429.97,2047.6,582.63
202410,마라389870,1,0,0.0,4.13,4.13,4.06,0.0,0.0,4.13,0.0,4.5,0.0,4.5,4.06,4.13,4.13,0.0,4.06,0.0,4.06,8.12,58.95,20.88,8.26,4.13,0.0
202410,마라389872,1,0,0.0,0.0,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16,0.0,0.0,4.29,6.45,14.94,8.52,0.0,4.32,8.58,0.0
202410,마라389873,1,0,53.16,223.11,183.45,107.29,99.77,101.73,190.02,157.56,192.87,241.44,354.55,607.98,923.8,878.33,1004.45,1345.23,1943.89,2601.46,2957.27,2511.24,2129.97,1890.52,1459.56,355.67
202410,마라389874,1,0,0.0,3.43,0.0,0.0,0.0,0.0,2.23,0.0,0.0,0.0,1.97,0.0,3.36,0.0,2.23,0.0,29.0,19.15,16.8,32.35,30.01,19.66,12.16,0.0
202410,마라390854,1,0,0.0,0.0,7.18,0.0,0.0,7.18,0.0,0.0,0.0,0.0,7.18,0.0,3.41,3.41,3.41,11.2,7.79,7.54,10.59,10.95,3.41,10.59,28.72,0.0
202410,마라390857,1,0,0.0,3.8,3.43,4.27,2.98,4.13,21.98,10.9,3.94,11.66,4.46,11.66,11.47,7.56,35.62,27.24,45.23,46.49,62.91,44.89,42.49,49.87,71.86,12.51
202410,마라390860,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43,0.0,0.0,0.0,0.0,0.0
202410,마라390861,1,0,37.83,162.87,148.05,152.27,192.1,102.91,80.7,87.68,129.36,82.67,211.4,340.63,644.18,569.7,603.09,848.4,1094.55,1534.46,1665.11,1512.63,1295.42,1288.4,794.98,223.76
202410,마라390864,1,0,54.61,223.3,218.62,186.27,171.73,138.82,209.26,161.61,191.5,158.42,337.88,564.0,611.13,679.42,925.27,1178.05,1910.85,2327.39,2635.64,2033.65,1686.26,1329.67,992.23,358.97
202410,마라390867,1,0,0.0,14.96,0.0,3.74,0.0,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.48,15.24,14.96,0.0
202410,마라390869,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.17,8.78,17.56,4.39,0.0,11.17,22.34,14.56,14.56,4.39,0.0
202410,마라390871,1,0,33.12,175.92,257.94,347.86,145.16,211.97,256.54,203.69,253.97,245.19,485.39,748.3,982.64,1166.6,1487.67,1894.1,2347.13,2798.54,3040.93,2921.57,2368.98,2202.32,1756.88,582.63
202410,마라390874,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.9,9.5,3.8,1.9,3.8,5.7,1.9,3.8,1.9,1.9,7.6,0.0,0.0
202410,마라390879,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77,0.0,7.53,0.0,0.0,0.0
202410,마라391854,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,3.34,3.76,3.76,7.1,7.1,7.1,3.34,17.96,0.0,0.0,0.0,0.0
202410,마라391855,1,0,0.0,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,6.66,3.33,17.89,3.95,11.85,3.95,7.9,3.33,3.95,3.33,0.0,3.95
202410,마라391859,1,0,137.42,521.74,415.43,297.54,374.09,326.55,484.46,360.55,452.23,551.37,736.5,1276.7,1540.7,1443.03,1630.28,2347.3,3047.67,3965.5,4262.95,3437.4,3311.4,3055.98,2478.13,745.92
202410,마라391861,1,0,6.66,11.39,0.0,16.15,11.25,13.75,18.75,21.53,16.62,11.5,34.4,59.52,65.18,101.56,128.66,94.75,173.29,244.55,341.85,292.45,251.37,260.15,189.93,77.4
202410,마라391864,1,0,38.15,136.17,145.54,83.36,129.36,139.81,162.54,105.42,103.38,219.32,373.67,531.53,734.97,888.65,940.22,1286.07,2166.5,2626.62,2344.24,2345.37,1931.45,1420.72,1107.49,328.07
202410,마라391866,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,0.0,0.0,0.0,0.0,0.0,7.78,0.0,3.89,0.0,0.0,0.0,3.89,0.0
202410,마라391867,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.73,17.56,8.37,23.59,12.76,26.34,4.39,0.0,0.0,7.96,4.39,0.0
202410,마라391868,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01,4.01,8.02,2.1,4.01,0.0,4.2,24.44,28.07,12.03,12.52,6.11,6.11,2.1
202410,마라391869,1,0,0.0,0.0,0.0,2.56,0.0,0.0,0.0,0.0,0.0,0.0,3.8,7.75,0.0,0.0,9.5,10.82,3.8,4.1,10.1,5.85,2.56,11.36,7.0,0.0
202410,마라391872,1,0,41.58,193.18,187.74,196.64,127.01,173.08,105.1,199.11,200.42,162.71,270.7,455.33,624.66,673.77,884.76,1164.33,1674.27,1800.51,2445.72,1847.28,1591.34,1455.93,1146.91,302.89
202410,마라391877,1,0,58.89,178.77,147.39,92.55,81.28,120.49,174.91,125.49,99.75,194.58,168.84,308.63,387.31,371.3,474.29,633.85,856.65,1208.96,1898.49,1527.17,1218.77,1039.75,905.94,344.85
202410,마라392858,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.77,17.76,26.64,26.53,4.44,13.32,0.0,8.88,0.0,4.44,4.33
202410,마라392860,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.44,4.22,16.88,12.74,4.3,0.0,12.66,4.3,0.0,4.22,0.0,0.0,4.22,0.0,0.0
202410,마라392861,1,0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,4.3,8.6,17.08,29.98,21.5,4.3,0.0
202410,마라392863,1,0,0.0,4.44,10.59,0.0,8.66,0.0,0.0,0.0,8.77,0.0,0.0,0.0,4.18,0.0,10.33,0.0,4.18,12.69,12.54,8.36,14.93,12.54,4.18,4.44
202410,마라392864,1,0,3.45,7.65,0.0,0.0,0.0,8.65,7.04,0.0,2.98,8.4,7.65,26.35,70.79,23.11,72.94,66.89,76.4,106.24,159.06,79.99,77.61,116.05,31.8,19.29
202410,마라392878,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.06,4.06,0.0,8.12,0.0,0.0,4.13,4.06,4.06,16.31,4.06,4.06,0.0,0.0,0.0
202410,마라393859,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32,0.0,0.0,0.0,0.0,0.0
202410,마라393861,1,0,0.0,0.0,0.0,3.61,0.0,21.33,3.61,0.0,0.0,0.0,3.84,11.06,0.0,0.0,3.84,3.84,24.7,0.0,22.12,6.59,16.39,25.33,5.96,0.0
202410,마라393868,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,1.9,1.9,11.4,0.0,0.0,0.0,0.0,0.0
202410,마라393875,1,0,97.46,205.29,190.04,121.72,113.61,174.33,247.43,218.6,180.02,260.87,407.62,634.72,681.99,869.72,1035.41,1286.05,1714.11,2257.19,3039.54,2608.9,1960.83,1991.56,1461.53,420.43
202410,마라393876,1,0,9.17,33.69,59.15,45.93,18.37,44.22,41.34,47.08,54.07,40.54,70.03,99.92,120.34,80.17,134.16,173.07,297.8,462.74,520.36,489.94,483.87,460.97,349.39,81.44
202410,마라394859,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0
202410,마라394861,1,0,28.11,140.79,113.9,118.96,137.14,146.7,89.76,106.94,120.57,184.42,250.17,476.79,437.23,513.12,661.58,855.96,993.91,1542.26,1667.12,978.72,958.35,942.24,698.76,190.04
202410,마라394863,1,0,98.14,211.63,115.2,163.48,118.67,127.13,153.84,139.41,117.11,174.77,237.44,316.06,356.17,398.86,402.7,581.12,858.88,967.86,1288.8,1048.74,958.05,1030.14,796.51,215.0
202410,마라394864,1,0,27.98,78.68,74.2,43.23,58.56,57.26,60.72,76.42,31.95,63.37,66.96,117.57,158.37,280.74,196.27,265.61,430.56,502.17,661.16,577.31,438.07,474.3,339.47,67.75
202410,마라394872,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0
202410,마라394875,1,0,63.29,157.34,182.71,102.42,99.53,132.82,131.6,113.84,86.69,144.31,211.07,362.06,471.82,479.81,537.38,872.08,1108.9,1523.64,2033.17,1687.89,1411.33,1300.94,1085.41,277.0
202410,마라394877,1,0,0.0,7.57,0.0,0.0,0.0,0.0,3.73,0.0,2.09,0.0,7.12,2.09,3.73,18.03,4.07,11.19,33.43,31.08,12.09,30.02,35.62,49.13,39.78,11.88
202410,마라394878,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.35,0.0,0.0,7.48,11.22,11.55,7.81,39.12,27.52,15.69,30.3,37.33,17.2,39.45,22.55,7.22
202410,마라395867,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78,0.0,0.0,6.27,4.23,1.9,0.0,2.13
202410,마라395868,1,0,5.46,4.07,3.9,14.39,5.7,6.41,19.57,15.64,22.54,14.31,20.39,25.55,42.06,49.69,51.1,87.95,93.83,140.22,156.34,117.78,118.61,118.33,119.24,13.31
202410,마라395870,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46,0.0,0.0,0.0,0.0,2.06,0.0,0.0,0.0,0.0,0.0,2.09,0.0
202410,마라395872,1,0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,5.49,1.82,3.7,3.7,7.37,7.37,5.52,5.52,7.34,5.52,1.85,0.0
202410,마라395875,1,0,0.0,0.0,0.0,0.0,0.0,2.68,0.0,0.0,0.0,0.0,0.0,2.68,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202410,마라395877,1,0,0.0,0.0,0.0,0.0,0.0,0.0,3.62,0.0,0.0,2.05,0.0,0.0,4.27,2.74,2.05,2.05,6.84,5.55,28.48,32.46,7.24,23.46,3.5,0.0
202410,마라395878,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.11,0.0,0.0,7.46,7.46,11.19,18.54,3.73,21.72,25.31,14.7,18.21,17.62,37.08,2.81,0.0
202410,마라395879,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,7.81,0.0,4.07,3.68,3.48,8.14,0.0
202410,마라396856,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
202410,마라396861,1,0,77.47,324.75,299.37,185.53,137.17,175.86,148.36,219.74,199.86,321.91,386.78,802.72,994.62,1138.56,953.71,1422.51,2259.46,2773.23,3903.31,2977.44,2322.55,2178.52,1574.53,494.67
202410,마라396862,1,0,12.19,34.57,25.71,18.17,9.98,16.29,12.65,19.21,4.1,19.47,26.89,55.44,75.72,42.61,61.07,134.35,115.71,185.96,313.88,270.55,249.1,341.3,224.6,157.58
202410,마라396863,1,0,0.0,0.0,7.4,0.0,8.02,0.0,0.0,0.0,0.0,4.02,0.0,12.85,3.39,4.02,8.13,13.48,65.91,77.98,42.57,14.18,25.6,30.62,18.79,6.07
202410,마라396864,1,0,21.88,63.81,50.66,46.28,70.37,52.76,46.79,40.65,49.55,89.36,75.19,95.05,135.1,185.57,178.74,265.31,462.44,563.43,542.19,557.8,545.38,551.77,411.23,136.86
202410,마라396867,1,0,98.53,286.77,236.45,212.0,193.81,239.16,242.55,321.32,213.89,357.76,664.07,979.22,1109.26,1070.38,1360.32,1594.81,2282.31,2921.47,3136.07,2359.39,1905.44,1916.13,1458.89,458.5
202410,마라396877,1,0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,4.2,4.2,0.0,0.0,4.07,31.66,4.07,0.0,4.07,4.07,0.0,0.0
202410,마라396878,1,0,0.0,3.32,0.0,0.0,0.0,0.0,4.13,0.0,4.13,4.13,3.81,8.02,16.52,0.0,16.28,63.68,48.84,37.17,22.12,15.88,26.9,34.61,99.81,15.88
202410,마라396881,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,0.0,0.0,0.0,0.0
202410,마라397860,1,0,38.78,184.43,187.69,101.84,91.43,113.05,125.97,95.56,119.85,201.25,230.38,406.53,703.5,569.1,630.91,957.97,1256.75,1543.37,2012.81,1768.32,1315.09,1659.74,1194.6,288.0
202410,마라397862,1,0,6.56,3.28,0.0,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.54,14.91,17.21,0.0,5.41,3.28,6.56,0.0,0.0,6.56,0.0,0.0
202410,마라397867,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,0.0,0.0,0.0,6.69,18.06,0.0,4.68,13.49,9.25,16.16,6.91
202410,마라397869,1,0,0.0,5.47,1.69,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,1.69,6.19,0.0,3.96,5.87,17.99,12.51,27.21,11.48,15.79,0.0,0.0
202410,마라397871,1,0,34.56,96.99,54.89,100.01,103.78,50.19,82.56,120.82,67.7,117.79,128.82,251.51,350.48,380.53,481.51,595.0,939.1,1323.67,1497.49,1217.03,938.39,848.36,735.78,225.95
202410,마라397872,1,0,201.53,669.59,530.84,384.73,364.6,454.82,558.8,534.41,475.69,558.63,799.41,1534.11,1612.76,1660.39,2441.66,3233.02,3783.43,6092.79,7755.59,7921.92,6699.94,6565.56,4755.65,1178.03
202410,마라397874,1,0,0.0,0.0,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07,0.0,0.0,0.0,0.0,2.39,0.0
202410,마라397876,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202410,마라398856,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32,0.0,0.0,0.0,2.02,0.0
202410,마라398857,1,0,0.0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.71,0.0,0.0
202410,마라398866,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.0,2.14,2.23,2.14,6.67,6.51,8.65,8.83,15.61,9.56,4.37,6.42,0.0,4.46,0.0
202410,마라398867,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202410,마라398870,1,0,89.94,240.22,180.51,167.62,181.41,213.97,299.89,231.48,256.69,293.21,418.04,721.59,779.85,892.93,1033.99,1452.93,1950.1,2379.13,2799.85,2047.33,1727.26,1662.21,1390.93,488.63
202410,마라398874,1,0,31.79,126.87,149.34,89.3,62.86,102.89,107.22,98.25,97.36,85.32,226.56,291.91,355.86,344.18,466.62,639.24,908.74,1616.57,1819.9,1830.01,1223.09,1111.43,768.5,203.06
202410,마라398875,1,0,0.0,0.0,0.0,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202410,마라399857,1,0,0.0,0.0,0.0,0.0,0.0,3.71,3.71,0.0,0.0,2.96,0.0,0.0,5.72,0.0,0.0,5.72,6.47,11.44,11.64,17.76,14.4,38.67,23.32,7.42
202410,마라399861,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.11,0.0,0.0,0.0,0.0
202410,마라399863,1,0,106.6,368.68,332.97,261.15,154.11,155.17,206.63,220.55,268.62,321.78,512.77,750.3,923.15,920.94,1004.33,1430.62,1855.07,2611.89,3485.73,2790.12,2397.29,2103.69,1605.46,493.67
202410,마라399864,1,0,56.58,235.5,204.13,219.94,266.57,188.4,231.61,225.49,229.56,328.2,424.77,810.53,1059.54,921.77,1140.04,1444.1,2225.17,2719.25,3787.8,2833.63,2103.66,1921.96,1636.65,432.34
202410,마라399866,1,0,0.0,2.46,6.42,18.18,13.45,6.35,8.97,8.15,12.15,16.07,18.22,35.6,51.35,18.24,35.29,50.02,51.41,93.86,112.54,109.32,79.47,98.18,129.83,45.42
202410,마라399869,1,0,0.0,15.2,11.47,8.02,8.0,11.04,21.05,17.7,11.8,26.48,30.39,43.56,43.47,70.3,77.95,137.56,116.19,160.23,210.39,158.58,136.87,201.89,178.69,74.08
202410,마라399870,1,0,0.0,6.64,0.0,7.16,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07,8.14,0.0,12.21,11.72,12.21,10.97,0.0,14.81,8.14,3.58,0.0
202410,마라399871,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07,0.0,0.0,12.24,4.1,0.0,0.0,0.0,0.0,0.0
202410,마라399872,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.92,3.62,0.0,3.58,3.62,0.0
202410,마라399874,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.0,18.8,26.32,11.28,3.76,15.04,34.06,3.76,7.74,22.78,7.52,0.0
202410,마라399875,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.74,0.0,3.73,0.0,0.0,3.73,0.0,0.0,0.0,3.74,0.0,3.73,0.0
202410,마라400856,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.96,2.96,14.8,5.92,11.84,0.0,0.0,0.0
202410,마라400857,1,0,0.0,2.76,0.0,2.76,2.76,0.0,0.0,2.76,0.0,0.0,0.0,2.76,10.48,9.46,0.0,0.0,0.0,9.4,52.44,62.06,26.67,17.65,9.74,3.98
202410,마라400858,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,2.67,2.67,15.83,0.0,6.38,14.61,52.18,37.15,19.34,16.42,0.0
202410,마라400869,1,0,211.05,575.25,469.71,351.34,408.5,613.74,621.94,674.53,739.11,909.8,1096.8,1647.29,2313.9,2297.98,2692.21,3844.3,5033.77,6729.96,7240.32,6120.57,5033.69,4529.97,3883.38,1079.41
202410,마라400870,1,0,7.48,14.96,18.7,0.0,0.0,0.0,0.0,7.77,0.0,4.0,7.51,3.74,0.0,13.0,0.0,46.49,32.99,45.32,8.24,23.61,25.0,46.48,47.41,0.0
202410,마라400871,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.71,3.62,0.0
202410,마라400873,1,0,0.0,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.74,11.22,7.16,7.48,14.94,11.22,7.48,0.0,3.74,22.13,48.14,32.4,14.67,3.48
202410,마라400874,1,0,62.19,242.99,149.92,128.3,119.1,151.72,190.01,102.95,178.32,312.78,303.7,488.57,767.49,682.12,751.73,1226.77,1530.74,2267.26,2243.28,2224.17,1920.92,1820.77,1546.36,473.12
202410,마라401856,1,0,104.69,317.92,311.72,307.5,253.76,259.4,335.42,296.67,356.52,323.99,450.31,790.58,1125.49,1267.34,1366.52,2124.15,2838.18,3575.73,4249.31,3330.98,2707.64,2457.39,2027.79,600.88
202410,마라401857,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,11.1,3.7,18.5,0.0,3.7,3.7,0.0,0.0,3.7,0.0
202410,마라401858,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2,3.65,3.65,0.0,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
